time,start_time,open,high,low,close,tick_volume,real_volume,num_time_bars,duration_seconds
2021-10-14 18:00:00,2021-10-14 15:30:00,1.16001,1.16086,1.15852,1.15876,13416,0,6,9000.0
2021-10-15 03:30:00,2021-10-14 18:30:00,1.15876,1.16021,1.15838,1.15937,13797,0,19,32400.0
2021-10-15 10:00:00,2021-10-15 04:00:00,1.15937,1.1615199999999999,1.1593499999999999,1.16127,13150,0,13,21600.0
2021-10-15 14:00:00,2021-10-15 10:30:00,1.16126,1.16186,1.15985,1.16036,13598,0,8,12600.0
2021-10-15 17:00:00,2021-10-15 14:30:00,1.16036,1.16072,1.15887,1.15942,14837,0,6,9000.0
2021-10-15 21:30:00,2021-10-15 17:30:00,1.15942,1.16101,1.1590799999999999,1.16055,13382,0,9,14400.0
2021-10-18 06:30:00,2021-10-15 22:00:00,1.16054,1.16058,1.15811,1.15816,14058,0,18,203400.0
2021-10-18 11:30:00,2021-10-18 07:00:00,1.15816,1.15962,1.15717,1.15806,14960,0,10,16200.0
2021-10-18 15:30:00,2021-10-18 12:00:00,1.15807,1.16096,1.15767,1.16013,15717,0,8,12600.0
2021-10-18 18:30:00,2021-10-18 16:00:00,1.16013,1.16131,1.1592500000000001,1.16086,13288,0,6,9000.0
2021-10-19 04:30:00,2021-10-18 19:00:00,1.16088,1.16369,1.16074,1.16341,14433,0,20,34200.0
2021-10-19 10:00:00,2021-10-19 05:00:00,1.16341,1.16576,1.16304,1.1652,13513,0,11,18000.0
2021-10-19 13:30:00,2021-10-19 10:30:00,1.1652,1.16692,1.16448,1.16593,13207,0,7,10800.0
2021-10-19 17:00:00,2021-10-19 14:00:00,1.16594,1.16621,1.16415,1.16519,13313,0,7,10800.0
2021-10-19 23:00:00,2021-10-19 17:30:00,1.16521,1.16527,1.1629800000000001,1.16334,13379,0,12,19800.0
2021-10-20 07:30:00,2021-10-19 23:30:00,1.16334,1.16514,1.16276,1.1651,13888,0,17,28800.0
2021-10-20 11:30:00,2021-10-20 08:00:00,1.1651,1.16521,1.1617,1.16262,13434,0,8,12600.0
2021-10-20 16:00:00,2021-10-20 12:00:00,1.1626,1.1643,1.1621299999999999,1.16398,14037,0,9,14400.0
2021-10-20 19:30:00,2021-10-20 16:30:00,1.16397,1.1657899999999999,1.1636199999999999,1.16562,13367,0,7,10800.0
2021-10-21 04:30:00,2021-10-20 20:00:00,1.16562,1.16632,1.16419,1.1661299999999999,14135,0,18,30600.0
2021-10-21 10:00:00,2021-10-21 05:00:00,1.16612,1.16675,1.1636199999999999,1.16424,15368,0,11,18000.0
